model,domain,novelty_mean,plausibility_mean
LLaMA-3.1-8B,biomedical,0.24324699999999996,0.0
LLaMA-3.1-8B,physics,0.2342201267828843,0.0
LLaMA-3.1-8B,biology,0.23645384615384615,0.0
LLaMA-3.1-8B,computer_science,0.2939235294117647,0.0
LLaMA-3.1-8B,chemistry,0.20363846153846155,0.0
Mistral-7B,biomedical,0.16215766666666667,0.0
Mistral-7B,physics,0.1699849445324881,0.0
Mistral-7B,biology,0.18984871794871794,0.0
Mistral-7B,computer_science,0.23805294117647058,0.0
Mistral-7B,chemistry,0.1699,0.0
Claude-Sonnet-4.6,biomedical,0.24202866666666664,0.0
Claude-Sonnet-4.6,physics,0.24125942947702061,0.0
Claude-Sonnet-4.6,biology,0.23854358974358975,0.0
Claude-Sonnet-4.6,computer_science,0.31581176470588235,0.0
Claude-Sonnet-4.6,chemistry,0.2448307692307692,0.0
Qwen2.5-72B,biomedical,0.211154,0.0
Qwen2.5-72B,physics,0.2192445324881141,0.0
Qwen2.5-72B,biology,0.2503564102564103,0.0
Qwen2.5-72B,computer_science,0.3034117647058823,0.0
Qwen2.5-72B,chemistry,0.20899230769230767,0.0
GPT-4o-mini,biomedical,0.21058866666666665,0.0
GPT-4o-mini,physics,0.20604041204437404,0.0
GPT-4o-mini,biology,0.23824102564102562,0.0
GPT-4o-mini,computer_science,0.31525882352941176,0.0
GPT-4o-mini,chemistry,0.23059999999999994,0.0
LLaMA-3.1-8B-FT,biomedical,0.3471053333333333,0.0
LLaMA-3.1-8B-FT,physics,0.37987638668779716,0.0
LLaMA-3.1-8B-FT,biology,0.3562717948717949,0.0
LLaMA-3.1-8B-FT,computer_science,0.4290882352941177,0.0
LLaMA-3.1-8B-FT,chemistry,0.3921769230769231,0.0
LLaMA-3.3-70B,biomedical,0.22400800000000004,0.0
LLaMA-3.3-70B,physics,0.22885863708399365,0.0
LLaMA-3.3-70B,biology,0.24560000000000004,0.0
LLaMA-3.3-70B,computer_science,0.3125235294117647,0.0
LLaMA-3.3-70B,chemistry,0.24663846153846153,0.0
Qwen2.5-7B,biomedical,0.183175,0.0
Qwen2.5-7B,physics,0.191216323296355,0.0
Qwen2.5-7B,biology,0.20550256410256415,0.0
Qwen2.5-7B,computer_science,0.2508,0.0
Qwen2.5-7B,chemistry,0.17996923076923077,0.0
